time,hex,callsign,latitude,longitude,no_position,altitude,squawk,ground speed,track,vertical speed
2020-01-26 17:42:50Z.388,0xa9a1ad,N72EX,34.17051,-118.60622,P,1200,1200,141,246,128
2020-01-26 17:42:50Z.456,0xa9a1ad,N72EX,34.17023,-118.60699,P,1200,1200,141,246,128
2020-01-26 17:42:51Z.072,0xa9a1ad,N72EX,34.17032,-118.60663,P,1200,1200,141,246,128
2020-01-26 17:42:51Z.608,0xa9a1ad,N72EX,34.17009,-118.60737,P,1200,1200,141,246,128
2020-01-26 17:42:52Z.672,0xa9a1ad,N72EX,34.16976,-118.60823,P,1200,1200,141,246,64
2020-01-26 17:42:53Z.198,0xa9a1ad,N72EX,34.16976,-118.60823,P,1200,1200,141,246,128
2020-01-26 17:42:53Z.634,0xa9a1ad,N72EX,34.16936,-118.60935,P,1200,1200,141,246,64
2020-01-26 17:42:54Z.004,0xa9a1ad,N72EX,34.16954,-118.6089,P,1200,1200,141,246,64
2020-01-26 17:42:54Z.588,0xa9a1ad,N72EX,34.16916,-118.61,P,1200,1200,142,246,0
2020-01-26 17:42:55Z.536,0xa9a1ad,N72EX,34.1689,-118.61064,P,1200,1200,142,247,0
2020-01-26 17:42:55Z.598,0xa9a1ad,N72EX,34.1689,-118.61064,P,1200,1200,142,247,0
2020-01-26 17:42:55Z.600,0xa9a1ad,N72EX,34.1689,-118.61064,P,1200,1200,142,247,0
2020-01-26 17:42:55Z.634,0xa9a1ad,N72EX,34.16916,-118.61,P,1200,1200,141,246,0
2020-01-26 17:42:56Z.092,0xa9a1ad,N72EX,34.16876,-118.61109,P,1200,1200,142,247,0
2020-01-26 17:42:59Z.016,0xa9a1ad,N72EX,34.16817,-118.61282,P,1200,1200,142,247,-192
2020-01-26 17:42:59Z.026,0xa9a1ad,N72EX,34.16817,-118.61282,P,1200,1200,142,247,-64
2020-01-26 17:42:59Z.408,0xa9a1ad,N72EX,34.16804,-118.6132,P,1200,1200,142,248,-192
2020-01-26 17:42:59Z.884,0xa9a1ad,N72EX,34.16785,-118.61389,P,1200,1200,143,248,-64
2020-01-26 17:42:59Z.922,0xa9a1ad,N72EX,34.16785,-118.61389,P,1200,1200,142,247,0
2020-01-26 17:43:00Z.464,0xa9a1ad,N72EX,34.16771,-118.61423,P,1200,1200,142,248,-192
2020-01-26 17:43:01Z.828,0xa9a1ad,N72EX,34.16757,-118.61462,P,1200,1200,142,248,-64
2020-01-26 17:43:02Z.380,0xa9a1ad,N72EX,34.16725,-118.61572,P,1200,1200,142,249,-64
2020-01-26 17:43:02Z.426,0xa9a1ad,N72EX,34.16725,-118.61572,P,1200,1200,142,249,-64
2020-01-26 17:43:04Z.922,0xa9a1ad,N72EX,34.16687,-118.61693,P,1200,1200,143,249,128
2020-01-26 17:43:06Z.002,0xa9a1ad,N72EX,34.16664,-118.61767,P,1200,1200,143,249,192
2020-01-26 17:43:06Z.532,0xa9a1ad,N72EX,34.1665,-118.61813,P,1200,1200,142,249,192
2020-01-26 17:43:06Z.746,0xa9a1ad,N72EX,34.16632,-118.61876,P,1200,1200,142,249,192
2020-01-26 17:43:06Z.972,0xa9a1ad,N72EX,34.16632,-118.61876,P,1200,1200,142,249,192
2020-01-26 17:43:07Z.414,0xa9a1ad,N72EX,34.16608,-118.6195,P,1200,1200,142,249,256
2020-01-26 17:43:07Z.902,0xa9a1ad,N72EX,34.16608,-118.6195,P,1200,1200,142,249,256
2020-01-26 17:43:07Z.944,0xa9a1ad,N72EX,34.1662,-118.6191,P,1200,1200,142,249,192
2020-01-26 17:43:08Z.948,0xa9a1ad,N72EX,34.16571,-118.62064,P,1200,1200,142,249,256
2020-01-26 17:43:09Z.512,0xa9a1ad,N72EX,34.16581,-118.62036,P,1200,1200,141,249,256
2020-01-26 17:43:10Z.390,0xa9a1ad,N72EX,34.16547,-118.62146,P,1200,1200,142,249,256
2020-01-26 17:43:10Z.468,0xa9a1ad,N72EX,34.16537,-118.6218,P,1225,1200,141,249,192
2020-01-26 17:43:10Z.594,0xa9a1ad,N72EX,34.1656,-118.62101,P,1200,1200,142,249,192
2020-01-26 17:43:11Z.462,0xa9a1ad,N72EX,34.16515,-118.62252,P,1200,1200,141,249,128
2020-01-26 17:43:11Z.918,0xa9a1ad,N72EX,34.16515,-118.62252,P,1200,1200,141,249,128
2020-01-26 17:43:13Z.436,0xa9a1ad,N72EX,34.16492,-118.62316,P,1225,1200,141,248,64
2020-01-26 17:43:13Z.866,0xa9a1ad,N72EX,34.16455,-118.62426,P,1225,1200,141,248,64
2020-01-26 17:43:13Z.916,0xa9a1ad,N72EX,34.16469,-118.6239,P,1225,1200,141,248,0
2020-01-26 17:43:14Z.366,0xa9a1ad,N72EX,34.16446,-118.62454,P,1225,1200,141,248,64
2020-01-26 17:43:14Z.954,0xa9a1ad,N72EX,34.16432,-118.62499,P,1225,1200,140,248,64
2020-01-26 17:43:15Z.752,0xa9a1ad,N72EX,34.16418,-118.62543,P,1225,1200,141,247,0
2020-01-26 17:43:16Z.356,0xa9a1ad,N72EX,34.16394,-118.62608,P,1225,1200,141,247,-64
2020-01-26 17:43:17Z.364,0xa9a1ad,N72EX,34.16394,-118.62608,P,1225,1200,141,247,-64
2020-01-26 17:43:17Z.900,0xa9a1ad,N72EX,34.16382,-118.62645,P,1225,1200,141,248,-128
2020-01-26 17:43:19Z.144,0xa9a1ad,N72EX,34.16329,-118.62814,P,1200,1200,141,248,-256
2020-01-26 17:43:19Z.628,0xa9a1ad,N72EX,34.16329,-118.62814,P,1200,1200,141,248,-256
2020-01-26 17:43:20Z.208,0xa9a1ad,N72EX,34.16301,-118.62888,P,1200,1200,141,248,-192
2020-01-26 17:43:20Z.248,0xa9a1ad,N72EX,34.16301,-118.62888,P,1200,1200,141,248,-192
2020-01-26 17:43:21Z.172,0xa9a1ad,N72EX,34.16278,-118.62962,P,1200,1200,141,248,-192
2020-01-26 17:43:22Z.090,0xa9a1ad,N72EX,34.16254,-118.63032,P,1200,1200,142,248,-192
2020-01-26 17:43:22Z.154,0xa9a1ad,N72EX,34.16267,-118.63004,P,1200,1200,142,248,-192
2020-01-26 17:43:22Z.164,0xa9a1ad,N72EX,34.16267,-118.63004,P,1200,1200,142,248,-192
2020-01-26 17:43:22Z.982,0xa9a1ad,N72EX,34.16245,-118.63059,P,1200,1200,142,248,-192
2020-01-26 17:43:24Z.306,0xa9a1ad,N72EX,34.16226,-118.63116,P,1200,1200,142,248,-192
2020-01-26 17:43:24Z.794,0xa9a1ad,N72EX,34.16185,-118.63232,P,1200,1200,142,246,0
2020-01-26 17:43:25Z.892,0xa9a1ad,N72EX,34.16171,-118.63272,P,1200,1200,142,246,0
2020-01-26 17:43:26Z.758,0xa9a1ad,N72EX,34.16148,-118.63334,P,1200,1200,141,246,0
2020-01-26 17:43:27Z.350,0xa9a1ad,N72EX,34.16148,-118.63334,P,1200,1200,141,246,64
2020-01-26 17:43:27Z.366,0xa9a1ad,N72EX,34.16133,-118.63374,P,1200,1200,141,246,0
2020-01-26 17:43:27Z.706,0xa9a1ad,N72EX,34.16112,-118.63441,P,1200,1200,141,246,64
2020-01-26 17:43:28Z.220,0xa9a1ad,N72EX,34.16093,-118.6348,P,1200,1200,141,245,192
2020-01-26 17:43:29Z.136,0xa9a1ad,N72EX,34.16068,-118.63547,P,1200,1200,142,248,-192
2020-01-26 17:43:30Z.514,0xa9a1ad,N72EX,34.16034,-118.63637,P,1200,1200,140,244,320
2020-01-26 17:43:30Z.576,0xa9a1ad,N72EX,34.16059,-118.63575,P,1200,1200,141,244,320
2020-01-26 17:43:31Z.518,0xa9a1ad,N72EX,34.15998,-118.63718,P,1200,1200,139,244,256
2020-01-26 17:43:31Z.626,0xa9a1ad,N72EX,34.15998,-118.63718,P,1200,1200,139,244,256
2020-01-26 17:43:31Z.726,0xa9a1ad,N72EX,34.15998,-118.63718,P,1200,1200,139,244,256
2020-01-26 17:43:32Z.090,0xa9a1ad,N72EX,34.15998,-118.63718,P,1200,1200,141,246,64
2020-01-26 17:43:32Z.102,0xa9a1ad,N72EX,34.15985,-118.63758,P,1200,1200,140,243,256
2020-01-26 17:43:33Z.666,0xa9a1ad,N72EX,34.15938,-118.63861,P,1200,1200,140,244,320
2020-01-26 17:43:34Z.270,0xa9a1ad,N72EX,34.15924,-118.63895,P,1225,1200,139,243,128
2020-01-26 17:43:35Z.150,0xa9a1ad,N72EX,34.15924,-118.63895,P,1225,1200,139,243,128
2020-01-26 17:43:36Z.180,0xa9a1ad,N72EX,34.15883,-118.64001,P,1225,1200,138,242,0
2020-01-26 17:43:36Z.228,0xa9a1ad,N72EX,34.15868,-118.64033,P,1225,1200,138,242,0
2020-01-26 17:43:37Z.698,0xa9a1ad,N72EX,34.15836,-118.64101,P,1225,1200,138,242,0
